Country Name,YEAR,NY.GNS.ICTR.ZS,NY.GDS.TOTL.ZS,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.ZS,NY.GDP.DEFL.KD.ZG,NV.IND.TOTL.ZS,NE.TRD.GNFS.ZS,NE.RSB.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.DAB.TOTL.ZS,NE.CON.GOVT.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.WD.GD.ZS,BN.CAB.XOKA.GD.ZS,BM.KLT.DINV.WD.GD.ZS,BG.GSR.NFSV.GD.ZS
ABW,2000,23.71464277,29.19325596,4.924526629,7.622920639,76.05540287,1.036100812,13.17595453,145.0728795,3.699142383,70.68686857,25.49411358,74.38601095,96.30085762,21.4195403,4.044021312,-6.828727173,11.05687226,0.140152916,118.9638823
ABW,2001,19.18930831,25.60163645,2.355477582,4.182002641,73.89884937,-2.835503355,13.05406907,140.3911086,1.602458922,69.39432485,23.99917753,70.99678377,98.39754108,24.8419723,2.883604303,-14.07505557,16.28087424,-0.19442312,128.6315146
ABW,2002,12.20715961,22.52783552,-2.121341944,-0.944954681,77.17603381,4.434689398,13.24162087,133.2307714,-4.102144261,68.66645784,26.62997978,64.56431358,104.1021443,24.89022411,3.315246786,16.94905601,-17.34345189,-0.313238602,93.6591964
ABW,2003,14.64646177,21.5498393,0.107045882,1.11050501,79.52916641,3.049045783,14.89220981,132.7942913,-7.331864792,70.06307803,28.88170409,62.73121324,107.3318648,24.44465094,3.656365079,7.816428712,-8.099022673,-0.158514988,114.1950172
ABW,2004,17.24833303,25.35157912,6.331365902,7.29372894,81.76386352,2.809908877,15.59650825,132.4309298,-3.099812767,67.76537128,28.45139188,64.66555851,103.0998128,22.88667881,2.529129469,-4.687638978,12.01368533,-0.361731126,84.20357336
ABW,2005,-1.652953154,24.26075843,-1.377378772,-0.383139604,85.90724671,5.067499267,16.29746113,145.0502801,-8.899683768,76.97498196,33.1604422,68.07529819,108.8996838,22.83597483,3.397786778,-8.804935635,4.447572928,-0.375570751,85.57007731
ABW,2006,13.1042328,22.66480823,-0.060443068,1.127412128,88.900552,3.484345516,17.65586324,141.0426267,-11.85432143,76.44847408,34.51912965,64.59415265,111.8543214,22.32300085,3.608024388,8.920466621,12.57421133,-0.519181903,83.58752236
ABW,2007,2.917364059,21.89686662,1.831639934,3.089543901,93.49394881,5.166893462,17.47955029,139.9723095,-9.849784414,74.91104695,31.74665104,65.06126254,109.8497844,21.41445256,5.392567845,-17.5903165,9.645360358,1.477160963,84.27745756
ABW,2008,15.34510666,24.05149603,0.579383698,1.835755679,97.47908022,4.262448483,16.18234888,139.1101498,-8.051559693,73.58085476,32.10305572,65.52929507,108.0515597,21.2483204,8.955987052,0.664175811,0.003930034,0.09825086,84.31102764
ABW,2009,11.17491375,17.92273078,-12.76027101,-11.67774203,99.13942307,1.703281208,13.04303599,137.5565759,-11.719449,74.63801246,29.64217978,62.91856347,111.719449,24.833034,-2.13542872,-0.415637599,6.722391272,0.05906429,87.35389792
ABW,2010,4.648619276,13.2548289,-3.827863063,-2.733455707,97.92654378,-1.223407653,11.546062,135.4646547,-15.0282825,75.24646859,28.28317971,60.21818609,115.0283508,26.46514444,2.078140719,7.611672202,-18.75253732,0.111568034,91.27175947
ABW,2011,-1.240146809,12.48081227,2.402779425,3.369238122,101.8491612,4.00567327,12.36644833,154.4377869,-14.93576135,84.68677411,27.41663716,69.75101276,114.9358249,25.10845514,4.316297422,18.50578004,-9.877655997,0.118599643,95.69508709
ABW,2012,5.750846814,13.08444396,-1.839358392,-1.040800135,102.0365972,0.184032956,10.07606346,156.6451972,-10.4381056,83.5416514,23.52250683,73.1035458,110.4380629,26.17794538,0.627471993,-12.03318022,3.473451275,0.106809695,98.9057774
ABW,2013,6.982150165,15.03119796,5.636969984,6.431481824,100,-1.995947776,10.74966244,161.8912803,-8.794657056,85.34296869,23.82585502,76.54831163,108.7946571,26.19330387,-2.372065243,8.298528585,-11.81320642,0.162025587,101.8619509
ABW,2014,10.71005381,16.78039627,-2.264868615,-1.586574644,103.9588969,3.958896888,10.7994982,162.8820521,-6.331064747,84.60655842,23.11146102,78.27549368,106.3310647,24.82374063,0.421440919,8.979992477,-4.658576876,0.317621033,105.9230416
ABW,2015,14.98840002,21.41108197,-1.255588342,-0.623625633,111.0606271,6.831286646,12.46882309,145.8336633,-0.127837599,72.98075045,21.53891957,72.85291285,100.1278376,23.25569556,0.474763597,-0.971203412,3.994141686,0.354880757,101.1234451
ABW,2016,15.52923743,21.97611665,1.121182099,1.719624116,109.9469124,-1.002798856,12.71382235,142.2397634,1.401106633,70.41932838,20.57501001,71.82043501,98.59889337,23.48752703,-0.931195987,0.923412744,4.731777741,-0.014034863,98.3041929
ABW,2017,14.31095057,21.84426626,6.474908497,7.048533259,106.4526163,-3.178166683,12.39482333,143.8042955,1.293084137,71.25560569,20.55118213,72.54868983,98.70691586,23.02162354,-1.028281788,5.253590264,1.11979545,2.689815292,99.76899504
ABW,2018,12.33872999,21.69371987,1.876401377,2.381730126,110.1545557,3.477546705,11.35816806,145.2135524,-0.70800444,72.9607784,22.40172431,72.25277396,100.7080044,23.07102042,3.626041414,4.148764495,-0.591367073,0.927007897,104.3038307
ABW,2019,16.72200624,23.56411471,-2.743402019,-2.302836844,116.8676036,6.094208082,11.37203709,145.3435727,1.12561035,72.10898119,22.43850436,73.23459154,98.87438965,22.49855227,4.257462043,-2.215282568,2.497109655,1.759758613,102.0851757
